Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Microsoft.Extensions.Options 9.0.3,,,,,"Microsoft.Extensions.Options, 9.0.3  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Microsoft.Extensions.Primitives 9.0.3,,,,,"Microsoft.Extensions.Primitives, 9.0.3  Recommendation:  Remove Microsoft.Extensions.Primitives, and replace with new package Microsoft.Extensions.Primitives 10.0.9"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Microsoft.IO.Redist 6.1.0,,,,,"Microsoft.IO.Redist, 6.1.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Oracle.ManagedDataAccess 23.7.0,,,,,"Oracle.ManagedDataAccess, 23.7.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Scintilla5.NET 6.0.1,,,,,"Scintilla5.NET, 6.0.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Stub.System.Data.SQLite.Core.NetFramework 1.0.119.0,,,,,"Stub.System.Data.SQLite.Core.NetFramework, 1.0.119.0  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.AppContext 4.3.0,,,,,"System.AppContext, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Collections.Immutable 9.0.3,,,,,"System.Collections.Immutable, 9.0.3  Recommendation:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.9"
